"Plazo","Tasa.Nominal"
1535,7.314871
1536,7.314925
1537,7.31498
1538,7.315033
1539,7.315087
1540,7.315141
1541,7.315195
1542,7.315248
1543,7.315302
1544,7.315355
1545,7.315408
1546,7.315462
1547,7.315515
1548,7.315568
1549,7.315621
1550,7.315673
1551,7.315726
1552,7.315779
1553,7.315832
1554,7.315884
1555,7.315936
1556,7.315989
1557,7.316041
1558,7.316093
1559,7.316145
1560,7.316197
1561,7.316249
1562,7.316301
1563,7.316352
1564,7.316404
1565,7.316455
1566,7.316507
1567,7.316559
1568,7.31661
1569,7.316661
1570,7.316712
1571,7.316763
1572,7.316814
1573,7.316865
1574,7.316916
1575,7.316967
1576,7.317017
1577,7.317068
1578,7.317119
1579,7.31717
1580,7.31722
1581,7.317271
1582,7.317321
1583,7.317371
1584,7.317421
1585,7.317471
1586,7.317521
1587,7.317571
1588,7.317621
1589,7.317671
1590,7.317721
1591,7.31777
1592,7.31782
1593,7.31787
1594,7.317919
1595,7.317969
1596,7.318019
1597,7.318068
1598,7.318117
1599,7.318167
1600,7.318216
1601,7.318266
1602,7.318315
1603,7.318363
1604,7.318413
1605,7.318461
1606,7.318511
1607,7.31856
1608,7.318609
1609,7.318657
1610,7.318706
1611,7.318755
1612,7.318804
1613,7.318852
1614,7.318901
1615,7.31895
1616,7.318998
1617,7.319047
1618,7.319095
1619,7.319143
1620,7.319192
1621,7.31924
1622,7.319289
1623,7.319337
1624,7.319385
1625,7.319434
1626,7.319481
1627,7.31953
1628,7.319578
1629,7.319626
1630,7.319674
1631,7.319722
1632,7.31977
1633,7.319818
1634,7.319867
1635,7.319914
1636,7.319962
1637,7.32001
1638,7.320058
1639,7.320106
1640,7.320154
1641,7.320202
1642,7.32025
1643,7.320297
1644,7.320345
1645,7.320393
1646,7.320441
1647,7.320488
1648,7.320536
1649,7.320583
1650,7.320631
1651,7.320678
1652,7.320726
1653,7.320773
1654,7.32082
1655,7.320868
1656,7.320915
1657,7.320962
1658,7.321008
1659,7.321056
1660,7.321102
1661,7.321149
1662,7.321196
1663,7.321243
1664,7.321289
1665,7.321336
1666,7.321382
1667,7.321429
1668,7.321475
1669,7.321521
1670,7.321567
1671,7.321614
1672,7.321659
1673,7.321705
1674,7.321751
1675,7.321798
1676,7.321843
1677,7.321888
1678,7.321935
1679,7.32198
1680,7.322026
1681,7.322071
1682,7.322116
1683,7.322161
1684,7.322207
1685,7.322251
1686,7.322296
1687,7.322342
1688,7.322387
1689,7.322431
1690,7.322475
1691,7.32252
1692,7.322565
1693,7.322609
1694,7.322654
1695,7.322698
1696,7.322742
1697,7.322786
1698,7.322831
1699,7.322875
1700,7.322918
1701,7.322962
1702,7.323006
1703,7.32305
1704,7.323093
1705,7.323137
1706,7.32318
1707,7.323224
1708,7.323267
1709,7.32331
1710,7.323353
1711,7.323396
1712,7.323439
1713,7.323482
1714,7.323525
1715,7.323567
1716,7.32361
1717,7.323652
1718,7.323694
1719,7.323737
1720,7.323779
1721,7.323821
1722,7.323863
1723,7.323905
1724,7.323947
1725,7.323988
1726,7.32403
1727,7.324072
1728,7.324113
1729,7.324155
1730,7.324196
1731,7.324237
1732,7.324278
1733,7.324319
1734,7.32436
1735,7.324402
1736,7.324442
1737,7.324483
1738,7.324523
1739,7.324564
1740,7.324604
1741,7.324644
1742,7.324685
1743,7.324725
1744,7.324765
1745,7.324804
1746,7.324845
1747,7.324884
1748,7.324924
1749,7.324963
1750,7.325003
1751,7.325042
1752,7.325081
1753,7.32512
1754,7.325159
1755,7.325198
1756,7.325237
1757,7.325276
1758,7.325314
1759,7.325353
1760,7.325391
1761,7.325429
1762,7.325468
1763,7.325506
1764,7.325544
1765,7.325582
1766,7.325619
1767,7.325657
1768,7.325695
1769,7.325732
1770,7.32577
1771,7.325807
1772,7.325844
1773,7.325881
1774,7.325918
1775,7.325955
1776,7.325992
1777,7.326028
1778,7.326065
1779,7.326101
1780,7.326137
1781,7.326174
1782,7.32621
1783,7.326246
1784,7.326282
1785,7.326318
1786,7.326353
1787,7.326388
1788,7.326424
1789,7.326459
1790,7.326494
1791,7.326529
1792,7.326565
1793,7.3266
1794,7.326634
1795,7.326669
1796,7.326703
1797,7.326738
1798,7.326772
1799,7.326806
1800,7.32684
1801,7.326874
1802,7.326908
1803,7.326942
1804,7.326975
1805,7.327009
1806,7.327042
1807,7.327075
1808,7.327109
1809,7.327142
1810,7.327175
1811,7.327207
1812,7.32724
1813,7.327273
1814,7.327305
1815,7.327337
1816,7.327369
1817,7.327402
1818,7.327434
1819,7.327465
1820,7.327497
1821,7.327529
1822,7.32756
1823,7.327591
1824,7.327623
1825,7.327654
1826,7.327685
1827,7.327715
1828,7.327747
1829,7.327777
1830,7.327808
1831,7.327838
1832,7.327869
1833,7.327898
1834,7.327928
1835,7.327959
1836,7.327988
1837,7.328018
1838,7.328048
1839,7.328078
1840,7.328107
1841,7.328137
1842,7.328166
1843,7.328195
1844,7.328224
1845,7.328253
1846,7.328282
1847,7.32831
1848,7.328339
1849,7.328368
1850,7.328397
1851,7.328425
1852,7.328453
1853,7.328481
1854,7.32851
1855,7.328537
1856,7.328565
1857,7.328593
1858,7.32862
1859,7.328648
1860,7.328676
1861,7.328703
1862,7.32873
1863,7.328758
1864,7.328785
1865,7.328812
1866,7.328839
1867,7.328866
1868,7.328892
1869,7.328918
1870,7.328945
1871,7.328971
1872,7.328998
1873,7.329024
1874,7.32905
1875,7.329076
1876,7.329102
1877,7.329128
1878,7.329154
